,abilities,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary,images,Pokemon ID,Description
0,"['Overgrow', 'Chlorophyll']",24.444444444444443,5120,70,318,16.666666666666664,Seed Pokémon,19.55555555555556,1059860,0.7,17.322834645669293,Fushigidaneフシギダネ,001 Bulbasaur,88.1,1,29.89130434782609,21.428571428571427,22.857142857142858,grass,poison,6.9,1,0,images/1.png,1,"Bulbasaur is a Grass/Poison type Pokémon introduced in Generation 1. Bulbasaur is a small, mainly turquoise amphibian Pokémon with red eyes and a green bulb on its back. It is based on a frog/toad, with the bulb resembling a plant bulb that grows into a flower as it evolves. Bulbasaur is notable for being the very first Pokémon in the National Pokédex. It is one of the three choices for a starter Pokémon in the original Game Boy games, Pokémon Red & Blue (Red & Green in Japan), along with Charmander and Squirtle."
1,"['Overgrow', 'Chlorophyll']",31.666666666666664,5120,70,405,16.666666666666664,Seed Pokémon,25.77777777777778,1059860,1.0,23.228346456692915,Fushigisouフシギソウ,002 Ivysaur,88.1,2,38.04347826086957,28.57142857142857,31.428571428571427,grass,poison,13.0,1,0,images/2.png,2,Ivysaur is a Grass/Poison type Pokémon introduced in Generation 1.
2,"['Overgrow', 'Chlorophyll']",52.77777777777778,5120,70,625,16.666666666666664,Seed Pokémon,52.44444444444445,1059860,2.0,31.10236220472441,Fushigibanaフシギバナ,003 Venusaur,88.1,3,60.86956521739131,47.61904761904761,42.85714285714285,grass,poison,100.0,1,0,images/3.png,3,"Venusaur is a Grass/Poison type Pokémon introduced in Generation 1. Venusaur is a large, quadrupedal Pokémon with a turquoise body. It has small red eyes and several large ferns on its back and head. The plant bulb that was on the back of its previous evolutions, Bulbasaur and Ivysaur, has now bloomed into a large flower with large pink petals and a yellow center. The female has a seed in the center. Venusaur is inspired by toads and the horned frog. The large flower is similar to the Rafflesia arnoldii, a parasitic plant with an unpleasant odor, referencing the Pokémon's Poison type. Venusaur is notable for being the final evolution stage of one of the original starter Pokémon, along with Charizard and Blastoise. It has a Mega Evolution, available in Generation 6 games and Pokémon Go; it also has a Gigantamax form available in Pokémon Sword/Shield, with an exclusive G-Max move, G-Max Vine Lash."
3,"['Blaze', 'Solar Power']",26.111111111111114,5120,70,309,16.666666666666664,Lizard Pokémon,16.88888888888889,1059860,0.6,14.960629921259844,Hitokageヒトカゲ,004 Charmander,88.1,4,27.173913043478255,14.285714285714285,34.285714285714285,fire,,8.5,1,0,images/4.png,4,"Charmander is a Fire type Pokémon introduced in Generation 1. Charmander is a bipedal, reptilian Pokémon. Most of its body is colored orange, while its underbelly is light yellow and it has blue eyes. It has a flame at the end of its tail, which is said to signify its health. Charmander's design is based on a lizard, however as its name suggests it may also have been inspired by salamanders, which in mythology have an affinity with fire. Charmander is notable for being one of the three choices for a starter Pokémon in the original Game Boy games, Pokémon Red & Blue (Red & Green in Japan), along with Bulbasaur and Squirtle."
4,"['Blaze', 'Solar Power']",32.77777777777778,5120,70,405,16.666666666666664,Flame Pokémon,23.555555555555557,1059860,1.1,22.440944881889763,Lizardoリザード,005 Charmeleon,88.1,5,38.04347826086957,21.428571428571427,42.85714285714285,fire,,19.0,1,0,images/5.png,5,Charmeleon is a Fire type Pokémon introduced in Generation 1.
5,"['Blaze', 'Solar Power']",55.00000000000001,5120,70,634,16.666666666666664,Flame Pokémon,32.44444444444444,1059860,1.7,30.314960629921263,Lizardonリザードン,006 Charizard,88.1,6,80.97826086956522,45.23809523809524,54.285714285714285,fire,flying,90.5,1,0,images/6.png,6,"Charizard is a Fire/Flying type Pokémon introduced in Generation 1. Charizard is a large dragon-like Pokémon, mainly orange in color. It has two large wings, the underside of which are turquoise. Like Charmander and Charmeleon, it has a flame at the end of its tail. The design of Charizard appears to draw inspiration from dragons of European folklore, with its large wings, horned head, and fiery breath. Charizard is notable for being the final evolution stage of one of the original starter Pokémon, along with Venusaur and Blastoise. Although it looks like a dragon, it doesn't have the Dragon typing. However it has two Mega Evolutions, available in Generation 6 games and Pokémon Go, one of which replaces its Flying type with Dragon. Charizard also has a Gigantamax form available in Pokémon Sword/Shield, with an exclusive G-Max move, G-Max Wildfire."
6,"['Torrent', 'Rain Dish']",23.88888888888889,5120,70,314,16.666666666666664,Tiny Turtle Pokémon,26.666666666666668,1059860,0.5,16.92913385826772,Zenigameゼニガメ,007 Squirtle,88.1,7,21.73913043478261,20.952380952380956,21.714285714285715,water,,9.0,1,0,images/7.png,7,"Squirtle is a Water type Pokémon introduced in Generation 1. Squirtle is a bipedal, reptilian Pokémon. It has a blue body with purple eyes, a light brown belly, and a tough red-brown shell on its back. It has a long tail that curls into a spiral. Squirtle is primarily based on a turtle, taking inspiration from both land-dwelling and sea-dwelling varieties. The curly tail resembles a crashing wave. Squirtle is notable for being one of the three choices for a starter Pokémon in the original Game Boy games, Pokémon Red & Blue (Red & Green in Japan), along with Bulbasaur and Charmander."
7,"['Torrent', 'Rain Dish']",32.22222222222222,5120,70,405,16.666666666666664,Turtle Pokémon,33.33333333333333,1059860,1.0,22.83464566929134,Kameilカメール,008 Wartortle,88.1,8,29.89130434782609,28.57142857142857,30.28571428571429,water,,22.5,1,0,images/8.png,8,Wartortle is a Water type Pokémon introduced in Generation 1.
8,"['Torrent', 'Rain Dish']",54.44444444444444,5120,70,630,16.666666666666664,Shellfish Pokémon,51.11111111111111,1059860,1.6,30.70866141732284,Kamexカメックス,009 Blastoise,88.1,9,67.93478260869566,45.23809523809524,41.71428571428572,water,,85.5,1,0,images/9.png,9,"Blastoise is a Water type Pokémon introduced in Generation 1. Blastoise is a large, bipedal, reptilian Pokémon. It has a blue body with small purple eyes, a light brown belly, and a stubby tail. It has a large brown shell with two powerful water cannons on either side, which can be withdrawn. Blastoise's design is heavily influenced by turtles and tortoises. The cannons likely draw inspiration from the concept of a mobile tank or battleship. Blastoise is notable for being the final evolution stage of one of the original starter Pokémon, along with Venusaur and Charizard. It has a Mega Evolution, available in Generation 6 games and Pokémon Go; it also has a Gigantamax form available in Pokémon Sword/Shield, with an exclusive G-Max move, G-Max Cannonade."
9,"['Shield Dust', 'Run Away']",13.88888888888889,3840,70,195,100.0,Worm Pokémon,13.333333333333334,1000000,0.3,17.322834645669293,Caterpieキャタピー,010 Caterpie,50.0,10,5.434782608695652,0.0,22.857142857142858,bug,,2.9,1,0,images/10.png,10,Caterpie is a Bug type Pokémon introduced in Generation 1.
10,['Shed Skin'],8.333333333333332,3840,70,205,46.42857142857143,Cocoon Pokémon,22.22222222222222,1000000,0.7,19.291338582677163,Transelトランセル,011 Metapod,50.0,11,8.152173913043478,2.380952380952381,14.285714285714285,bug,,9.9,1,0,images/11.png,11,Metapod is a Bug type Pokémon introduced in Generation 1.
11,"['Compoundeyes', 'Tinted Lens']",22.22222222222222,3840,70,395,16.666666666666664,Butterfly Pokémon,20.0,1000000,1.1,23.228346456692915,Butterfreeバタフリー,012 Butterfree,50.0,12,43.47826086956522,28.57142857142857,37.142857142857146,bug,flying,32.0,1,0,images/12.png,12,"Butterfree is a Bug/Flying type Pokémon introduced in Generation 1. Butterfree has a Gigantamax form available in Pokémon Sword/Shield, with an exclusive G-Max move, G-Max Befuddle."
12,"['Shield Dust', 'Run Away']",16.666666666666664,3840,70,195,100.0,Hairy Pokémon,11.11111111111111,1000000,0.3,15.354330708661418,Beedleビードル,013 Weedle,50.0,13,5.434782608695652,0.0,25.71428571428571,bug,poison,3.2,1,0,images/13.png,13,Weedle is a Bug/Poison type Pokémon introduced in Generation 1.
13,['Shed Skin'],11.11111111111111,3840,70,205,46.42857142857143,Cocoon Pokémon,20.0,1000000,0.6,17.322834645669293,Cocoonコクーン,014 Kakuna,50.0,14,8.152173913043478,2.380952380952381,17.142857142857142,bug,poison,10.0,1,0,images/14.png,14,Kakuna is a Bug/Poison type Pokémon introduced in Generation 1.
14,"['Swarm', 'Sniper']",80.55555555555556,3840,70,495,16.666666666666664,Poison Bee Pokémon,15.555555555555555,1000000,1.0,25.196850393700785,Spearスピアー,015 Beedrill,50.0,15,2.717391304347826,28.57142857142857,80.0,bug,poison,29.5,1,0,images/15.png,15,"Beedrill is a Bug/Poison type Pokémon introduced in Generation 1. Beedrill has a Mega Evolution, available in Omega Ruby/Alpha Sapphire and Pokémon Go."
15,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",22.22222222222222,3840,70,251,100.0,Tiny Bird Pokémon,15.555555555555555,1059860,0.3,15.354330708661418,Poppoポッポ,016 Pidgey,50.0,16,13.586956521739127,7.142857142857142,29.142857142857142,normal,flying,1.8,1,0,images/16.png,16,Pidgey is a Normal/Flying type Pokémon introduced in Generation 1.
16,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",30.55555555555556,3840,70,349,46.42857142857143,Bird Pokémon,22.22222222222222,1059860,1.1,24.40944881889764,Pigeonピジョン,017 Pidgeotto,50.0,17,21.73913043478261,14.285714285714285,37.71428571428572,normal,flying,30.0,1,0,images/17.png,17,Pidgeotto is a Normal/Flying type Pokémon introduced in Generation 1.
17,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",41.66666666666667,3840,70,579,16.666666666666664,Bird Pokémon,33.33333333333333,1059860,1.5,32.28346456692913,Pigeotピジョット,018 Pidgeot,50.0,18,67.93478260869566,28.57142857142857,66.28571428571428,normal,flying,39.5,1,0,images/18.png,18,"Pidgeot is a Normal/Flying type Pokémon introduced in Generation 1. Pidgeot has a Mega Evolution, available in Omega Ruby/Alpha Sapphire and Pokémon Go."
